Mon Dec 10 19:43:57 2018    ./profile.stats

         1106127434 function calls (1105796362 primitive calls) in 389.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.002    0.002 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:34(<module>)
        1    0.001    0.001    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/result.py:1(<module>)
       21    0.000    0.000    0.002    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:552(_code)
        1    0.002    0.002    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/multiprocessing/process.py:35(<module>)
        4    0.002    0.000    0.002    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:293(namedtuple)
     1638    0.000    0.000    0.002    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:212(get)
        1    0.002    0.002    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/shutil.py:5(<module>)
    12661    0.002    0.000    0.002    0.000 {iter}
        2    0.001    0.001    0.002    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/random.py:293(sample)
   128/21    0.001    0.000    0.002    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:64(_compile)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/fft/fftpack.py:32(<module>)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/heapq.py:31(<module>)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:82(<module>)
     1805    0.001    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:193(__next)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/arrayprint.py:5(<module>)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:21(<module>)
        2    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__init__.py:71(search_function)
        4    0.000    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/warnings.py:49(filterwarnings)
        1    0.001    0.001    0.001    0.001 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/ImagePalette.py:19(<module>)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/__init__.py:10(<module>)
     2592    0.001    0.000    0.001    0.000 ./core.py:79(get_id)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/testing/utils.py:4(<module>)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/case.py:133(TestCase)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/matrixlib/__init__.py:3(<module>)
        1    0.001    0.001    0.001    0.001 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.001    0.001 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/TiffTags.py:20(<module>)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/loader.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/difflib.py:27(<module>)
        1    0.001    0.001    0.001    0.001 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/TiffImagePlugin.py:1550(AppendingTiffWriter)
       13    0.000    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/abc.py:86(__new__)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/util.py:1(<module>)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:24(<module>)
       21    0.000    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:433(_compile_info)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/random.py:91(__init__)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/random.py:100(seed)
       46    0.000    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:228(_compile_charset)
